"","x"
"1090","DHRS7B"
"1091","MTRNR2L1"
"1092","NLK"
"1093","SDF2"
"1094","BLMH"
"1095","CRLF3"
"1096","ATAD5"
"1097","NF1"
"1098","EVI2B"
"1099","EVI2A"
"1100","C17orf75"
"1101","ZNF207"
"1102","PSMD11"
"1103","CCL2"
"1104","NLE1"
"1105","AP2B1"
"1106","MRPL45"
"1107","PSMB3"
"1108","RPL23"
"1109","RPL19"
"1110","MED1"
"1111","MED24"
"1112","CDC6"
"1113","SMARCE1"
"1114","KLHL11"
"1115","ACLY"
"1116","CNP"
"1117","NKIRAS2"
"1118","TUBG1"
"1119","VPS25"
"1120","PSME3"
"1121","RPL27"
"1122","BRCA1"
"1123","DHX8"
"1124","LSM12"
"1125","G6PC3"
"1126","SLC4A1"
"1127","KANSL1"
"1128","WNT3"
"1129","CDC27"
"1130","MYL4"
"1131","EFCAB13"
"1132","KPNB1"
"1133","SP2"
"1134","PNPO"
"1135","CBX1"
"1136","ATP5G1"
"1137","SPOP"
"1138","FAM117A"
"1139","COL1A1"
"1140","LRRC59"
"1141","ANKRD40"
"1142","LUC7L3"
"1143","TOB1"
"1144","NME1"
"1145","UTP18"
"1146","COX11"
"1147","STXBP4"
"1148","SCPEP1"
"1149","MSI2"
"1150","MRPS23"
"1151","SRSF1"
"1152","MKS1"
"1153","SUPT4H1"
"1154","DHX40"
"1155","CLTC"
"1156","VMP1"
"1157","USP32"
"1158","MED13"
"1159","DCAF7"
"1160","DDX42"
"1161","PSMC5"
"1162","SNHG25"
"1163","TEX2"
"1164","HELZ"
"1165","PSMD12"
"1166","PITPNC1"
"1167","BPTF"
"1168","KPNA2"
"1169","C17orf80"
"1170","RPL38"
"1171","ICT1"
"1172","ATP5H"
"1173","SUMO2"
"1174","MRPS7"
"1175","UNK"
"1176","SNHG16"
"1177","TK1"
"1178","AFMID"
"1179","TIMP2"
"1180","LGALS3BP"
"1181","BAHCC1"
"1182","ACTG1"
"1183","ANAPC11"
"1184","STRA13"
"1185","USP14"
"1186","MYL12A"
"1187","MYL12B"
"1188","RAB12"
"1189","NDUFV2"
"1190","TWSG1"
"1191","RALBP1"
"1192","SNRPD1"
"1193","RBBP8"
"1194","RIOK3"
"1195","TTC39C"
